Hostname,Proxy Configuration,TTFB (avg),TTFB (stddev),PLT (avg),PLT (stddev
twitter,BYPASS_PROXY_QUIC,103.464333333,17.8755803884,487.365333279,21.6849845717
twitter,BYPASS_PROXY_HTTPS,96.868,9.68840547596,527.493000031,42.2796362934
twitter,HTTP_PROXY_HTTPS,146.068,2.153,1859.30699998,606.772000015
twitter,QUIC_PROXY_QUIC,155.456,18.626273433,2237.14966663,740.33048549
twitter,HTTP_PROXY_QUIC,210.2195,45.3945,2001.75350004,290.848500073
wikipedia,BYPASS_PROXY_QUIC,34.391,0.896171114613,503.852999965,39.6032262112
wikipedia,BYPASS_PROXY_HTTPS,34.485,1.93564270119,462.299333334,1.74918654212
wikipedia,HTTP_PROXY_HTTPS,67.5373333333,1.91720670653,1163.96733332,1.39890676191
wikipedia,QUIC_PROXY_QUIC,70.0616666667,2.25199205643,1120.1153334,79.8761854106
wikipedia,HTTP_PROXY_QUIC,72.536,1.99412955112,1050.71333333,53.5183860928
amazon,BYPASS_PROXY_QUIC,94.9406666667,5.79674163264,2385.53133333,124.509826229
amazon,BYPASS_PROXY_HTTPS,100.444,15.6624258657,2512.69199995,127.783349468
amazon,HTTP_PROXY_HTTPS,117.767,5.862,6776.53500003,1573.48199993
amazon,QUIC_PROXY_QUIC,135.1745,18.3885,5645.63149995,1029.60750002
amazon,HTTP_PROXY_QUIC,150.496666667,19.6001452772,6046.07499997,808.44772295
baidu,BYPASS_PROXY_QUIC,281.282333333,43.6553427531,551.232666612,51.5457031439
baidu,BYPASS_PROXY_HTTPS,303.948333333,69.0587208219,569.275666634,56.8798967879
baidu,HTTP_PROXY_HTTPS,324.778333333,136.910416274,452.188000003,135.449505557
baidu,QUIC_PROXY_QUIC,336.646333333,44.3879121408,463.449666619,44.2087158884
baidu,HTTP_PROXY_QUIC,576.16,265.504185926,703.565333327,266.530611665
co,BYPASS_PROXY_QUIC,77.865,4.3209559899,547.956666629,139.429264262
co,BYPASS_PROXY_HTTPS,70.7243333333,1.32953834929,321.483333309,6.1365851622
co,QUIC_PROXY_QUIC,151.683,2.77359778387,2085.58899999,220.020746082
co,HTTP_PROXY_QUIC,158.763,5.44500878481,2185.56066664,428.47923564
youtube,BYPASS_PROXY_QUIC,52.049,3.92015467382,851.882000049,73.3473592855
youtube,BYPASS_PROXY_HTTPS,48.4423333333,1.29872997792,829.805666645,5.96342099779
youtube,HTTP_PROXY_HTTPS,80.2023333333,4.21918557175,3176.92766666,193.479873618
youtube,QUIC_PROXY_QUIC,79.0036666667,1.6605132406,2579.40633333,157.45045773
youtube,HTTP_PROXY_QUIC,95.713,16.55,4590.11249995,2339.43949997
vk,BYPASS_PROXY_QUIC,142.097333333,5.70621838193,2286.28633328,87.3249180587
vk,BYPASS_PROXY_HTTPS,142.556333333,2.12606966542,2825.23166664,526.299925294
vk,HTTP_PROXY_HTTPS,202.350333333,2.24110186193,3415.80866667,382.694670484
vk,QUIC_PROXY_QUIC,196.713,2.41521400018,3541.61933331,597.395422147
vk,HTTP_PROXY_QUIC,196.382666667,0.922911817143,3024.23866665,143.973434978
facebook,BYPASS_PROXY_QUIC,161.21,38.7959015103,1578.88,64.5457220052
facebook,BYPASS_PROXY_HTTPS,139.663,13.6533869058,1599.05000003,19.0431155746
facebook,HTTP_PROXY_HTTPS,262.558666667,138.944690536,4557.04333333,2514.08078655
facebook,QUIC_PROXY_QUIC,233.400666667,74.6271088293,3277.06099995,436.534548225
facebook,HTTP_PROXY_QUIC,188.840666667,41.4397964147,2757.68133338,218.004436578
live,BYPASS_PROXY_QUIC,61.344,13.3376040827,533.767000079,33.0287538043
live,BYPASS_PROXY_HTTPS,33.661,6.71486966863,947.71299994,444.972461571
live,HTTP_PROXY_HTTPS,100.331,16.2567690722,3796.93299997,2622.38921308
live,QUIC_PROXY_QUIC,101.810666667,10.5341113953,2365.19366666,180.276088204
live,HTTP_PROXY_QUIC,118.372,1.699,1655.82850003,787.147500038
taobao,BYPASS_PROXY_QUIC,5.37066666667,0.348769583281,4714.10066664,709.19668924
taobao,BYPASS_PROXY_HTTPS,34.378,41.709570948,4841.07233326,585.272399742
taobao,HTTP_PROXY_HTTPS,56.73,0.0,6571.83000004,0.0
taobao,HTTP_PROXY_QUIC,42.7256666667,0.674569657057,3709.49566666,1248.851108
instagram,BYPASS_PROXY_HTTPS,119.669,51.4333954612,956.465000033,237.891367065
linkedin,BYPASS_PROXY_QUIC,199.407666667,5.25970856818,595.367000024,30.1849884213
linkedin,BYPASS_PROXY_HTTPS,219.997666667,29.0030311098,701.875,119.58868412
linkedin,HTTP_PROXY_HTTPS,214.5975,1.9685,2727.85999995,1047.76700002
linkedin,HTTP_PROXY_QUIC,2345.819,0.0,3666.4849999,0.0
yahoo,BYPASS_PROXY_QUIC,56.7163333333,5.28939878961,2008.79033331,560.456580466
yahoo,BYPASS_PROXY_HTTPS,91.3033333333,56.8601433949,2660.74366665,26.952819806
yahoo,HTTP_PROXY_HTTPS,111.344666667,32.5721467549,7164.91866672,302.620014184
yahoo,QUIC_PROXY_QUIC,87.821,0.0,9338.37699997,0.0
qq,BYPASS_PROXY_QUIC,40.1796666667,1.06434372059,8313.71133327,324.148606959
qq,BYPASS_PROXY_HTTPS,83.8123333333,53.7403829805,8169.75266663,342.935708972
qq,HTTP_PROXY_HTTPS,42.091,0.673729916213,8642.19400005,34.5969002259
qq,QUIC_PROXY_QUIC,950.935,305.537,5592.74949992,349.227499962
qq,HTTP_PROXY_QUIC,800.499,371.179,4832.77499998,962.478999972
